reference,date,position,navArea,subreg,hostility,victim,description,
2021-108,2021-04-08,"1°16'00""N
104°15'00""E",XI,71,,TRINA OLDENDORFF,"On 8 April, four robbers armed with knives boarded the Portugal-flagged bulk carrier TRINA OLDENDORFF approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the Singapore Strait, near position 01:16N — 104:15E at 01 local time. The duty motorman saw the robbers, who pushed and hit the motorman on the head before escaping. Alarm was raised, crew was mustered, and a search was carried out. Nothing reported stolen.",
2021-107,2021-04-08,"1°15'58.46""N
104°14'58.86""E",XI,71,,HARRISBURG,"On 8 April, two robbers boarded the Singapore-flagged tanker HARRISBURG approximately 5.3 NM southeast of Kampong Sungai Buntu, Malaysia, in the eastern section of the Singapore Strait, near position 01:16N — 104:15E at 05:50 local time. The alarm was raised and crew mustered. A search onboard the ship was conducted with no further sighting of the perpetrators. Nothing was stolen.",
2021-101,2021-04-06,"15°09'00""N
41°01'00""E",IX,62,explosion,SAVIZ,"On 6 April, Iran-flagged commercial vessel SAVIZ reported an onboard explosion as the ship operated in the vicinity of Djibouti near position 15:09N — 041:01 E. On 6 April around 0600 local time. The SAVIZ had been anchored off Yemen for what Iran describes as a mission to ""provide maritime security along the shipping lines and to fight pirates."" An Iranian foreign ministry spokesperson confirmed ""The freighter was slightly damaged in an explosion.""",
2021-96,2021-04-02,"9°14'00""N
13°49'00""W",II,51,,,"On 2 April, four robbers boarded a bulk carrier anchored at Conakry Anchorage, near position 09:14N — 013:49W. The robbers stole money and the crew's personal effects before escaping. The crew are reported as safe.",
2021-97,2021-04-01,"5°10'00""N
4°30'00""E",II,57,,,"On 1 April, an unknown vessel made a suspicious approach against an offshore supply vessel approximately 45 NM southwest of Bayelsa State, near position 051: ION — 004:30E. The suspicious vessel was transiting showing no AIS and altering course in unison with the supply vessel at three miles. After possibly detecting the escort vessel, the suspicious vessel changed course and moved away. The suspicious vessel managed to approach to a distance of 0.5 NM.",
2021-174,2021-03-31,"12°00'11.41""N
61°44'57.89""W",IV,25,,,"GRENADA: On 25 March, robbers stole a small outboard motor from a dinghy alongside an occupied yacht anchored in Mt. Hartman Bay.",
2021-110,2021-03-30,"1°12'00""N
103°31'00""E",XI,71,,,"On 30 March, robbers boarded a barge under tow by a tugboat in the Singapore Strait near position 01:12N — 103:31E. Robbers in two boats came alongside the barge, stole an attached buoy, and headed towards Tanjung Pelepas. The master reported the incident via Vessel Traffic Service CH 73.",
2021-109,2021-03-30,"6°02'00""S
106°48'00""E",XI,71,,,"On 30 March, robbers boarded a container vessel anchored at Zone F, Jakarta Anchorage, near position 06:02S — 1 06:48E. Crew members on routine rounds spotted the two robbers carrying sacks. When the crew shouted and pointed their flashlights at the robbers, the robbers fled from the port side, poop deck area. The crew conducted a search which revealed that the robbers had stolen items from the engine room.",
2021-89,2021-03-29,"10°40'41.66""N
61°38'22.09""W",IV,24,,,"On 29 March, robbers stole a small outboard motor and dinghy from alongside a yacht in Chaguaramas Bay. It is not known if a police report was made.",
2021-99,2021-03-28,"8°45'00""S
13°16'00""E",VII,57,,,"On 28 March, robbers boarded a container vessel at Luanda Anchorage, near position 08:45S — 01 3:16E. The robbers managed to board the vessel and steal several items of ship's properties before being spotted by the duty crew. The crew raised the alarm and notified port authorities. The robbers fled in two wooden boats.",
2021-98,2021-03-28,"6°20'00""N
10°52'00""W",II,51,,,"On 28 March, two robbers attempted to board a bulk carrier in Monrovia Anchorage, near position 06:20N — 010:52W. When port security spotted robbers trying to board the vessel, they raised the alarm. The robbers subsequently jumped into the water. No items were reported stolen in the incident.",
2021-90,2021-03-27,"16°09'59.03""N
61°47'10.79""W",IV,25,,,"On 27 March, a dinghy and outboard motor were stolen from a sailing yacht anchored near Pigeon Island. A police report was made.",
2021-102,2021-03-26,"10°46'31.51""S
40°28'19.96""E",VII,61,,,"On 26 March, insurgents reportedly briefly boarded two vessels in the harbor at Palma, during an insurgent-led siege of the city. More than 1,300 people have been evacuated from the city, mostly by ship.",
2021-91,2021-03-26,"11°60'00""N
61°43'59.99""W",IV,25,,,"On 26 March, robbers stole a small outboard motor from a dinghy alongside an occupied yacht anchored near Hog Island.",
2021-111,2021-03-25,"1°17'00""N
104°18'00""E",XI,71,,AFRICAN QUEEN,"On 25 March, five robbers boarded the Marshall Islands-flagged bulk carrier AFRICAN QUEEN underway 6.1 NM northwest of Tanjung Pergram, Bintan Island, near position 01:17 N — 104:18E. Master raised the alarm, crew mustered, and a search was carried out. Engine spare parts reported stolen. Incident reported to local authorities.",
2021-175,2021-03-24,"10°19'00""N
75°31'00""W",IV,24,,,"COLOMBIA: On 24 March, robbers boarded a tanker at Cartagena Alpha Anchorage, near position 10-19N 075-31W. While on routine rounds, a duty crewman spotted three robbers armed with knives. The alarm was raised, and an emergency broadcast was made to the harbormaster. The robbers then made their escape by lowering the mooring ropes and using a blue hulled motorboat. Three members of the coast guard carried out an investigation and found that several items of ship's properties were stolen.",
2021-92,2021-03-24,"10°19'00""N
75°31'00""W",IV,24,,,,
2021-173,2021-03-22,"9°57'48.24""N
79°32'21.84""E",VIII,63,,,"INDIA: On 22 March, six fishermen from Tamil Nadu were injured when a group of robbers in two speed boats boarded their fishing boat and ransacked it. The robbers stole their catch, personal electronics and GPS equipment before fleeing. (",
2021-171,2021-03-22,"26°20'00""N
56°01'00""E",IX,62,,,"UNITED ARAB EMIRATES: On 22 March, a vessel transiting the Strait of Hormuz reported a suspicious approach by one small grey boat with 3 persons onboard wearing masks. The approach occurred approximately 21 NM north of Mina Saqr near position 26-20N 056-01E.",
2021-170,2021-03-16,"12°00'00""S
77°11'00""W",XVI,22,,Bulk carrier,"PERU: On 16 March, eight robbers, armed with knives, boarded an anchored bulk carrier at Callao Anchorage, near position 12-00S 077-11W. A duty crew member was threatened and restrained by the robbers. The perpetrators were able to steal ship's property and then released the crew member before making their escape. The incident was reported to the local port authorities, which resulted in a coast guard patrol vessel being dispatched to the scene to assist. (",
2021-169,2021-03-16,"12°01'00""S
77°10'00""W",XVI,22,,Bulk carrier,"PERU: On 16 March, robbers boarded an anchored bulk carrier at Callao Anchorage, near position 12-01S 077-10W. The robbers managed to board the vessel, break into the forecastle store room and steal ship's properties without being spotted. The duty crew noticed the robbery had taken place while on routine rounds.",
2021-172,2021-03-15,"20°54'00""N
107°16'00""E",XI,93,,Bulk carrier,"VIETNAM: On 15 March, robbers boarded a moored bulk carrier at Campha Port, near position 20-54N 107-16E. The robbers broke into two crew cabins, stealing cash before making their escape. The local authorities were informed and an investigation was carried out.",
2021-167,2021-03-14,"2°58'00.12""N
2°52'59.88""E",II,57,Boarding,offshore supply vessel BOURBON EVOLUTION 802,"NIGERIA: On 14 March, pirates boarded the Luxembourg-flagged offshore supply vessel BOURBON EVOLUTION 802 approximately 208 NM south of Lagos near position 02-58N 002-53E. The crew is safe and stayed in the citadel during the boarding.",
2021-168,2021-03-11,"2°46'59.88""N
2°34'59.88""E",II,57,,Malta-flagged tanker DAVIDE B,"NIGERIA: On 11 March, pirates boarded the Malta-flagged tanker DAVIDE B approximately 227 NM southwest of Lagos near position 02-47N  002-35E. The pirates escaped with 15 kidnapped crewmembers.",
2021-165,2021-03-10,"11°59'00""S
77°14'00""W",XVI,22,,Bulk carrier,"PERU: On 10 March, robbers boarded a bulk carrier anchored in Callao Anchorage, near position 11-59S 077-14W. The robbers, armed with knives, were spotted by a duty crewmember on the forward mooring station. The alarm was raised and the crew mustered, which resulted in the perpetrators escaping with stolen ship's property. The incident was reported to the local Vessel Traffic Service and a coast guard patrol vessel was tasked to the area, to search the waters surrounding the bulk carrier.",
2021-34,2021-03-10,"8°45'00""S
13°17'00""E",VII,57,,,"On 10 March, robbers boarded an anchored container ship at Luanda Anchorage, near position 08:45S �?? 013: 1 7 E. The robbers managed to board the vessel and steal two mooring lines without being spotted. The duty crew discovered the robbery had taken place during routine rounds.",
2021-166,2021-03-09,"17°00'28.8""N
61°45'46.8""W",IV,25,,Sailing yacht,"ANTIGUA AND BARBUDA: On 9 March, robbers boarded a sailing yacht anchored in English Harbor. The robbers stole a dinghy. It was recovered the next morning from a nearby mangrove area, minus the 15-HP Yamaha outboard engine, fuel tank, fuel line and oars. A report was made to the marina and the police.",
2021-164,2021-03-08,"14°43'00""N
53°31'00""E",IX,62,,,"GULF OF ADEN: On 8 March, a vessel reported a suspicious approach approximately IOS NM southeast of Nishtun, Yemen, near position 14-43N 053-31E. Four small craft with two people onboard each craft approached the vessel.",
2021-37,2021-03-08,"14°43'00""N
53°31'00""E",IX,62,,,"On 8 March, a vessel reported a suspicious approach approximately 105 NM southeast of  Nishtun, Yemen, near position 14:43N �?? 053:31E. Four small craft with two people onboard each craft approached the vessel.",
2021-163,2021-03-06,"3°60'00""N
9°37'00""E",II,57,,Offshore supply ship,"CAMEROON: On 6 March, robbers boarded an offshore supply ship anchored in Douala Anchorage, near position 04-00N 009-37E. The theft was noticed by the bosun during routine rounds. The crew searched the ship and ship's property was noted stolen. The incident was reported to local port authorities.",
2021-35,2021-03-06,"3°60'00""N
9°37'00""E",II,57,,,"On 6 March, robbers boarded an offshore supply ship anchored in Douala Anchorage, near position 04:00N �?? 009:37E. The theft was noticed by the bosun during routine rounds. The crew searched the ship and ship's property was noted stolen. The incident was reported to local port authorities.",
2021-31,2021-03-06,"2°38'44.68""S
80°07'23.91""W",XII,22,,PACORA,"On 6 March, robbers boarded the Jamaica-flagged container ship PACORA near Guayaquil. The robbers broke into nine specific containers before leaving the ship.",
2021-39,2021-03-03,"4°29'00""N
119°36'00""E",XI,92,,AKIJ PEARL,"On 3 March, the Bangladesh-flagged bulk carrier AKIJ PEARL reported a suspicious approach  by a skiff carrying three persons 11 NM southeast of Sibutu Island, Tawi Tawi, near position 04:29N �?? 1 19:36E.",
